sample	treatment	week	chla	chlb	chlc
1	NC	1	0.115389269	0.047185118	0.059294366
2	NC	1	0.23306657	0.055855707	0.054553402
3	NC	1	0.114736366	0.029858023	0.026655665
4	Cip	1	0.171116075	0.061646677	0.077997913
5	Cip	1	0.06582862	0.02669798	0.028652912
6	Cip	1	0.233525535	0.041933382	0.03768076
7	Pro	1	0.234304178	0.059447328	0.064146105
8	Pro	1	0.110227054	0.028998917	0.029381878
9	Pro	1	0.227162931	0.057598082	0.063168678
10	Mix	1	0.144333475	0.080849419	0.102394309
11	Mix	1	0.23564754	0.081597627	0.100085446
12	Mix	1	0.18786499	0.069594454	0.084834824
13	NC	2	0.121608507	0.025465644	0.019337511
14	NC	2	0.185145069	0.03926474	0.036427175
15	NC	2	0.234990387	0.046154735	0.046567017
16	Cip	2	0.024529896	0.014398797	0.01986866
17	Cip	2	0.17635111	0.079064799	0.095657467
18	Cip	2	0.085295451	0.039268766	0.044872932
19	Pro	2	0.0574167	0.018579168	0.023077753
20	Pro	2	0.144331596	0.038493904	0.043668387
21	Pro	2	0.074207355	0.048787662	0.065357181
22	Mix	2	0.029875201	0.035193779	0.049027768
23	Mix	2	0.031858627	0.020323804	0.027091255
24	Mix	2	0.03330146	0.017210274	0.019670609
25	NC	3	0.219344546	0.038677744	0.026489307
26	NC	3	1.063679209	0.195401505	0.178720945
27	NC	3	0.475178512	0.080609502	0.058867582
28	Cip	3	0.369683424	0.076605672	0.051822913
29	Cip	3	0.229084367	0.072136823	0.052593881
30	Cip	3	0.151750733	0.049518753	0.039369432
31	Pro	3	0.758966416	0.118223044	0.106133436
32	Pro	3	0.772227584	0.106967824	0.089893678
33	Pro	3	0.355950351	0.064084675	0.061295769
34	Mix	3	0.875293438	0.144164895	0.101605001
35	Mix	3	0.731294631	0.149832636	0.127372809
36	Mix	3	0.433032494	0.086329038	0.062667434
